 : 35
phases : 2
philip : 1
photograph : 1
photographed : 1
photographs : 2
picture : 1
piece : 1
pieces : 2
pierre : 1
piglike : 1
pilot : 2
pilots : 4
pirate : 1
pirates : 1
place : 5
placed : 1
plague : 2
plain : 3
plane : 5
planes : 17
planned : 1
plenty : 1
plus : 2
pm : 1
poems : 3
point : 2
poles : 1
pomona : 1
poor : 1
pope : 1
popular : 1
population : 1
porsche : 3
port : 1
positions : 1
possible : 1
possibly : 1
posts : 1
power : 5
powers : 1
practise : 1
precious : 5
predict : 7
predicted : 7
predicting : 2
prediction : 2
predictions : 7
prehistoric : 2
prehistorys : 1
present : 2
presentday : 1
president : 1
presidents : 1
previously : 1
price : 1
priceless : 1
priest : 3
priests : 1
primitive : 7
princess : 1
probably : 3
problems : 2
professor : 2
property : 1
prophecies : 4
prophecy : 3
prophet : 1
protected : 1
proudly : 2
prove : 1
provencal : 1
provence : 2
published : 3
puerto : 1
pulled : 5
pulls : 1
purpose : 2
put : 5
puzzling : 1
pygmy : 1
pyramids : 3
quality : 1
quatrain : 6
quatrains : 2
queen : 3
queens : 1
question : 1
questions : 2
quickly : 2
quite : 1
race : 3
races : 1
racing : 3
radio : 1
radiocarbon : 1
rafts : 1
ran : 1
ranger : 1
rangers : 1
rare : 3
rarely : 1
reached : 1
read : 1
reading : 2
real : 4
realised : 2
really : 5
rearrange : 1
reason : 2
rebuilt : 1
receiving : 1
recently : 1
record : 1
recreate : 1
red : 1
reddish : 1
reddishbrown : 1
refer : 3
referring : 1
refers : 1
reis : 1
religion : 1
religious : 1
remain : 3
remained : 4
remains : 4
remote : 1
remy : 1
report : 2
reported : 3
reports : 2
research : 4
responsible : 1
result : 1
return : 1
returned : 2
reveal : 1
revolution : 1
ribbon : 1
rich : 1
rico : 1
riding : 1
right : 2
ring : 1
ripimu : 1
rise : 3
rituals : 1
river : 3
rivers : 1
road : 1
robbed : 1
robbers : 2
rock : 1
rocks : 1
roger : 2
romans : 1
roosevelt : 1
route : 2
royal : 2
rubicon : 1
rudolph : 1
rule : 1
ruled : 1
rumours : 3
runs : 1
sacramento : 1
sacrifices : 1
safety : 1
said : 23
sail : 3
sailed : 3
sailing : 4
sailor : 2
sailors : 4
salinas : 1
salisbury : 3
salon : 1
same : 3
samples : 1
santa : 3
sarah : 1
sarcophagus : 1
sasquatch : 2
saw : 11
say : 11
says : 3
scalp : 2
scattered : 1
sceptics : 1
scholars : 1
science : 1
sciences : 1
scientific : 1
scientists : 15
scrying : 1
sea : 5
seaquake : 4
seaquakes : 4
search : 6
searched : 1
second : 2
secret : 1
see : 10
seem : 1
seems : 2
seen : 9
sell : 3
selling : 1
send : 1
sent : 4
sentinel : 1
separated : 1
september : 4
sequence : 1
series : 1
serious : 3
seriously : 2
servant : 2
set : 2
seven : 4
seventeen : 1
seventeenth : 1
several : 5
shake : 1
she : 3
sherpas : 4
ship : 33
ships : 15
shipton : 1
shocked : 1
shocking : 1
short : 1
shortly : 2
show : 1
showed : 2
shows : 2
shuttle : 2
signed : 1
signing : 1
signs : 2
silvercoloured : 1
similar : 2
simon : 1
simple : 1
simply : 2
since : 3
sinister : 1
sir : 3
site : 1
six : 3
sixteenth : 1
sixtus : 1
sixtyfive : 1
size : 2
skins : 2
skull : 1
sky : 7
small : 3
smaller : 1
smell : 1
smithsonian : 4
snowman : 12
so : 11
sold : 6
solstices : 2
some : 25
someone : 4
something : 8
sometimes : 1
son : 1
sons : 1
soon : 1
sophia : 1
sounds : 1
south : 5
southeastern : 1
southern : 3
soviet : 1
space : 1
spanish : 1
special : 4
spent : 1
splendid : 1
sponsor : 2
spot : 2
spyder : 2
st : 1
standing : 1
stars : 2
start : 2
started : 6
state : 3
states : 6
station : 2
statue : 1
step : 1
steps : 1
still : 7
stole : 3
stolen : 1
stone : 7
stonehenge : 24
stones : 11
stop : 3
stopped : 4
stories : 2
storm : 3
stormy : 2
story : 2
straight : 1
strait : 1
strange : 18
strasburg : 1
street : 1
strong : 4
stronger : 1
strongly : 1
structures : 1
students : 1
studied : 6
studies : 1
study : 1
subject : 2
success : 1
successors : 1
such : 4
suddenly : 7
suggested : 1
sulphur : 2
summer : 2
sun : 2
superstition : 1
superstitious : 1
suppose : 1
sure : 3
surprise : 1
surrounded : 1
surrounding : 1
survived : 1
survives : 1
susie : 1
swamp : 1
symbol : 1
table : 1
tablet : 1
take : 4
taken : 3
taking : 1
talent : 1
tall : 3
taller : 1
tarot : 1
tavernier : 4
taylor : 2
team : 1
teenage : 1
telegram : 1
tell : 2
temple : 1
ten : 3
term : 3
terrible : 4
terribly : 1
terrified : 1
territory : 1
terror : 1
texas : 1
th : 1
than : 11
that : 94
thats : 1
the : 651
thebes : 1
their : 17
them : 13
then : 8
theodore : 1
theories : 1
theory : 1
there : 28
therefore : 1
these : 13
theta : 2
they : 48
thick : 1
thing : 2
things : 3
think : 10
thinks : 1
thiokol : 1
third : 4
thirty : 1
this : 40
though : 1
thought : 6
thousand : 2
thousands : 1
three : 7
through : 5
throughout : 1
throw : 1
thrown : 1
tibetan : 1
time : 12
times : 8
to : 169
today : 8
told : 5
tomb : 26
tombs : 5
tons : 3
too : 2
took : 7
top : 4
tortured : 1
totem : 1
tournament : 1
town : 1
tracks : 1
tragedy : 2
tragically : 1
transported : 2
travelled : 1
treasures : 6
treasuresover : 1
tree : 1
